Date,Soil Moisture 10cm (%) ,Soil Moisture 20cm (%) ,Soil Moisture 30cm (%),Soil Moisture 40cm (%),Soil Moisture 50cm (%),Soil Moisture 60cm (%) ,Rain,Temperature (oC),Humidity (%)
2024-09-20 03:00:00,7.34,3.49,2.22,2.15,1.46,1.25,0,20.52,72.17
2024-09-20 02:00:00,7.33,3.49,2.22,2.14,1.46,1.25,0,19.9,76
2024-09-20 01:00:00,7.33,3.49,2.22,2.14,1.46,1.25,0,19.7,78.83
2024-09-20 00:00:00,7.33,3.48,2.22,2.14,1.46,1.25,0,19.62,81.5
2024-09-19 23:00:00,7.32,3.49,2.22,2.15,1.46,1.25,0,20,82
2024-09-19 22:00:00,7.32,3.49,2.22,2.14,1.46,1.25,0,21.1,80
2024-09-19 21:00:00,7.31,3.49,2.22,2.14,1.46,1.25,0,21.9,73
2024-09-19 20:00:00,7.3,3.49,2.22,2.14,1.46,1.25,0,23.38,66.33
2024-09-19 19:00:00,7.3,3.49,2.22,2.14,1.46,1.25,0,25.18,59.17
2024-09-19 18:00:00,7.31,3.49,2.22,2.14,1.46,1.25,0,26.23,54.67
2024-09-19 17:00:00,7.34,3.49,2.23,2.14,1.46,1.25,0,26.4,54.17
2024-09-19 16:00:00,7.36,3.5,2.23,2.15,1.46,1.26,0,25.8,55.67
2024-09-19 15:00:00,7.38,3.51,2.23,2.15,1.47,1.26,0,24.45,61.83
2024-09-19 14:00:00,7.4,3.51,2.23,2.15,1.46,1.26,0,23.1,70.17
2024-09-19 13:00:00,7.4,3.51,2.24,2.15,1.46,1.26,0,19.72,81.5
2024-09-19 12:00:00,7.41,3.51,2.24,2.14,1.46,1.26,0,17.47,88.83
2024-09-19 11:00:00,7.41,3.5,2.24,2.14,1.46,1.26,0,15.93,88.5
2024-09-19 10:00:00,7.42,3.51,2.23,2.14,1.46,1.26,0,15.28,89
2024-09-19 09:00:00,7.43,3.51,2.23,2.15,1.46,1.26,0,17.1,83.5
2024-09-19 08:00:00,7.42,3.51,2.23,2.14,1.46,1.26,0,17.9,83.5
2024-09-19 07:00:00,7.42,3.51,2.23,2.14,1.46,1.26,0,17.42,83.67
2024-09-19 06:00:00,7.42,3.51,2.23,2.14,1.46,1.26,0,17.78,83.33
2024-09-19 05:00:00,7.42,3.51,2.23,2.14,1.46,1.26,0,18.35,81.33
2024-09-19 04:00:00,7.42,3.52,2.23,2.14,1.46,1.26,0,18.2,82.17
2024-09-19 03:00:00,7.42,3.51,2.23,2.14,1.46,1.27,0,18.5,81
2024-09-19 02:00:00,7.42,3.51,2.23,2.14,1.46,1.27,0,18.8,81
2024-09-19 01:00:00,7.43,3.51,2.23,2.14,1.46,1.27,0,18.98,81.67
2024-09-19 00:00:00,7.44,3.51,2.23,2.14,1.46,1.27,0,18.8,82.83
2024-09-18 23:00:00,7.43,3.51,2.23,2.14,1.46,1.27,0,18.7,84.5
2024-09-18 22:00:00,7.45,3.51,2.23,2.14,1.46,1.27,0,18.97,85
2024-09-18 21:00:00,7.46,3.51,2.23,2.14,1.46,1.27,0,18.05,93.67
2024-09-18 20:00:00,7.46,3.51,2.23,2.14,1.46,1.27,0.6,17.97,94.67
2024-09-18 19:00:00,7.46,3.51,2.24,2.14,1.46,1.27,0.3,17.98,93.83
2024-09-18 18:00:00,7.46,3.51,2.24,2.14,1.46,1.27,0,19.22,86.83
2024-09-18 17:00:00,7.46,3.51,2.23,2.14,1.46,1.28,0,18.3,92.17
2024-09-18 16:00:00,7.48,3.52,2.23,2.14,1.46,1.28,0.3,18.53,96.17
2024-09-18 15:00:00,7.48,3.52,2.23,2.14,1.46,1.28,0,17.98,96.67
2024-09-18 14:00:00,7.47,3.51,2.23,2.13,1.46,1.28,0.3,17.33,96.83
2024-09-18 13:00:00,7.45,3.52,2.23,2.13,1.46,1.28,0.3,18.13,94
2024-09-18 12:00:00,7.58,3.52,2.23,2.14,1.44,1.28,0,18.02,88.17
2024-09-18 11:00:00,7.74,3.54,2.16,2.03,1.7,1.14,0,18.53,78.83
2024-09-18 10:00:00,8.07,3.58,2.01,1.93,1.97,1.02,0,19.6,73.17
2024-09-18 09:00:00,8.07,3.58,2.01,1.93,1.97,1.02,0,20.48,69.33
2024-09-18 08:00:00,8.07,3.58,2.01,1.93,1.97,1.02,0,20.75,68.5
2024-09-18 07:00:00,8.07,3.58,2.01,1.93,1.97,1.02,0,20.55,69.5
2024-09-18 06:00:00,8.07,3.58,2.01,1.93,1.97,1.02,0,19.3,72.33
2024-09-18 05:00:00,8.06,3.58,2.01,1.93,1.96,1.02,0,17.7,74.83
2024-09-18 04:00:00,8.06,3.58,2.01,1.92,1.97,1.02,0,17.45,78.17
2024-09-18 03:00:00,8.06,3.58,2.01,1.92,1.97,1.03,0,17.72,82.5
2024-09-18 02:00:00,8.06,3.58,2.01,1.92,1.96,1.03,0,18.48,86.17
2024-09-18 01:00:00,8.06,3.57,2.01,1.93,1.96,1.03,0,19.52,85.5
2024-09-18 00:00:00,8.06,3.57,2.01,1.93,1.96,1.03,0,19.68,86.83
2024-09-17 23:00:00,8.06,3.58,2.01,1.93,1.96,1.03,0,20.03,86.33
2024-09-17 22:00:00,8.04,3.58,2.01,1.92,1.95,1.03,0,21.92,79.33
2024-09-17 21:00:00,8.04,3.58,2.01,1.92,1.95,1.03,0,24.77,67.17
2024-09-17 20:00:00,8.05,3.58,2.01,1.92,1.96,1.03,0,25.85,60.17
2024-09-17 19:00:00,8.06,3.58,2.01,1.92,1.95,1.03,0,24.43,64.5
